Pollen_type_SM_morphological,African_coast,Madagascar,South_Africa,Eastern_Tropical_Africa,Zambezian,Guineo-Congolian,Sudanian,Sahel,Sahara,Mediterranean,Temperate,Asia,Arabia,America,Australia,Exotic_Introduced,Cosmopolitan,Widespread,Reference #1,Reference #2,Reference #3,Reference #4,Reference #5,Reference #6,Reference #7,Reference #8,Observations
Strychnos,,,x,x,,x,x,x,,,,,,,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.",,,,,,,,
Styrax,,,,,,,,,,x,,,,,,,,,Fritsch 2001 Molecular Phylogenetics and Evolution,,,,,,,,
Symphonia,,,,x,,x,,,,,,,,,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.",,,,,,,,"Also in east malasy, lake victoria (white 1983). According to Hely (2014) only in the Sudanian region"
Symphoricarpos,,,,,,,,,,,,x,,x,,x,,,Tsymbalyuk et al. (2022) Palynology,,,,,,,,"Cultivated, native to America"
Syringa,,,,,,,,,,x,x,x,,,,,,,Kim and Jansen 1998 Systematics and Phytogeography,,,,,,,,
Syzygium t.,,,x,x,,x,x,x,,,,,,,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.","Hély, C., Lézine, A.-M., & Contributors, A. (2014). Holocene changes in African vegetation: Tradeoff between climate and water availability. Clim. Past, 10, 681–686. https://doi.org/10.5194/cp-10-681-2014",,,,,,,
Tabernaemontana,,,,x,,x,x,,,,,,,,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.","Hély, C., Lézine, A.-M., & Contributors, A. (2014). Holocene changes in African vegetation: Tradeoff between climate and water availability. Clim. Past, 10, 681–686. https://doi.org/10.5194/cp-10-681-2014",,,,,,,According to White (1983) only in the Afromontane archipelago
Tacazzea,,,,x,,x,x,,,,,,,,,,,,"Thulin, M., et al. (2008). Flora of Somalia, Vol. 1-4. https://plants.jstor.org/collection/FLOS",,,,,,,,
Tamarindus,,,x,x,,,x,x,x,,,,,,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.","Hély, C., Lézine, A.-M., & Contributors, A. (2014). Holocene changes in African vegetation: Tradeoff between climate and water availability. Clim. Past, 10, 681–686. https://doi.org/10.5194/cp-10-681-2014",,,,,,,
Tamarix,,,x,x,,,,x,x,x,x,x,x,,,,,,"Bahramsoltani, R., Kalkhorani, M., Zaidi, S. M. A., Farzaei, M. H., & Rahimi, R. (2020). The genus Tamarix: Traditional uses, phytochemistry, and pharmacology. Journal of ethnopharmacology, 246, 112245.",,,,,,,,
Tapinanthus,,,x,x,,x,x,x,,,,,,,,,,,"Hély, C., Lézine, A.-M., & Contributors, A. (2014). Holocene changes in African vegetation: Tradeoff between climate and water availability. Clim. Past, 10, 681–686. https://doi.org/10.5194/cp-10-681-2014",,,,,,,,
Taxus,,,,,,,,,,x,x,x,,x,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.",,,,,,,,
Teclea,,,,x,,x,x,x,,,,,,,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.","Hély, C., Lézine, A.-M., & Contributors, A. (2014). Holocene changes in African vegetation: Tradeoff between climate and water availability. Clim. Past, 10, 681–686. https://doi.org/10.5194/cp-10-681-2014",,,,,,,"Also in Afromontane archipelago, somalia-masai, lake victoria (white 1983). According to Hély (2014) only in guineo-congolian-sudanian"
Tephrosia,,,x,x,,,x,x,x,,,,,,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.","Hély, C., Lézine, A.-M., & Contributors, A. (2014). Holocene changes in African vegetation: Tradeoff between climate and water availability. Clim. Past, 10, 681–686. https://doi.org/10.5194/cp-10-681-2014",,,,,,,Not in the guinea-congolian area according to White (1983) and Hély (2014)
TERTIARY POLLEN GRAIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,NA
Tetracera alnifolia,,,,,,x,x,,,,,,,,,,,,"Hély, C., Lézine, A.-M., & Contributors, A. (2014). Holocene changes in African vegetation: Tradeoff between climate and water availability. Clim. Past, 10, 681–686. https://doi.org/10.5194/cp-10-681-2014",,,,,,,,
Tetrorchidium,,,,,,x,,,,,,,,,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.",,,,,,,,
Thalictrum,,,x,x,,x,,,,x,x,x,x,x,,,,,"Utteridge, T. M. A., & Jennings, L. V. S. (2022). Trees of New Guinea. Kew Publishing, Royal Botanic Gardens, Kew.",,,,,,,,
Theligonum,,,,,,,,,,x,x,x,,,,,,,Deng et al. (2017) Scientific Reports,,,,,,,,
Thesium,x,x,x,x,x,x,,,,x,x,x,x,x,x,,,,"Thulin, M., et al. (2008). Flora of Somalia, Vol. 1-4. https://plants.jstor.org/collection/FLOS",,,,,,,,
Thunbergia,x,x,x,x,x,x,,,,,,x,,,x,,,,"Vollesen 2008 Flora of Tropical East Africa,",,,,,,,,
Thymelaeaceae undif.,x,x,x,x,x,x,x,,,x,x,x,x,x,x,,,,"Bramley, Trias-Blasi & Wilford (2023). The Kew Temperate Plant Families Identification Handbook. Kew Publishing Royal Botanic Gardens, Kew",,,,,,,,
Tilia,,,,,,,,,,x,x,x,x,x,,,,,De Benedetti et al. (2022) Review of Palaeobotany and Palynology,,,,,,,,
Tiliacora,,,,,x,x,,,,,,,,,,,,,"Thulin, M., et al. (2008). Flora of Somalia, Vol. 1-4. https://plants.jstor.org/collection/FLOS",,,,,,,,
Tinospora,,,x,x,,,x,x,x,,,,,,,,,,"Thulin, M., et al. (2008). Flora of Somalia, Vol. 1-4. https://plants.jstor.org/collection/FLOS","Hély, C., Lézine, A.-M., & Contributors, A. (2014). Holocene changes in African vegetation: Tradeoff between climate and water availability. Clim. Past, 10, 681–686. https://doi.org/10.5194/cp-10-681-2014",,,,,,,According to Hély (2014) Tinospora bakis is also found in the Sahara and Sahel
Trachomitum,,,,,,,,,,x,x,x,x,x,,,,,Jang et al. (2021) Industrial Crops and Products,,,,,,,,
Trapa natans,,,x,x,,x,x,,,x,x,,,,,,,,"Brenan, J.P.M. (1953) Flora of Tropical East Africa: Trapaceae. London: Crown Agents for Overseas Governments &? Administrations. 4 pp. ISBN 978-1-84246-322-2",,,,,,,,"A very wide discontinuous range through Europe, Asia and Africa (north Africa to South Africa) naturalized in northern America and Australia; more widespread in Tertiary times than to-day"
Treculia,,,,x,,x,,,,,,,,,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.","Hély, C., Lézine, A.-M., & Contributors, A. (2014). Holocene changes in African vegetation: Tradeoff between climate and water availability. Clim. Past, 10, 681–686. https://doi.org/10.5194/cp-10-681-2014",,,,,,,"Zambezian, Guineo-congolian, zanzibar (white 1983)"
Trema,,,x,x,,x,,,,,,,,,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.","Hély, C., Lézine, A.-M., & Contributors, A. (2014). Holocene changes in African vegetation: Tradeoff between climate and water availability. Clim. Past, 10, 681–686. https://doi.org/10.5194/cp-10-681-2014",,,,,,,"According to White (1983): Guineo-Congolian, south africa, sahel. According to Hély (2014) Trema orientalis only guineo-congolian"
Tribulus,x,x,x,x,,x,x,x,x,x,x,x,x,,x,,,,"Thulin, M., et al. (2008). Flora of Somalia, Vol. 1-4. https://plants.jstor.org/collection/FLOS",,,,,,,,"According to White (1983): Karoo-Namib,Kalahari-Highveld, sahel. According to Hély (2014): saharan-sahel. Widespread"
Trichodesma,,,x,x,,,x,x,x,,,,,,,,,,"Hély, C., Lézine, A.-M., & Contributors, A. (2014). Holocene changes in African vegetation: Tradeoff between climate and water availability. Clim. Past, 10, 681–686. https://doi.org/10.5194/cp-10-681-2014",,,,,,,,
Trifolium t.,,x,x,x,,x,,,x,x,x,x,x,x,,,,,"Lewis, B. Schrire, B. MacKinder & M. Lock. Royal Botanic Gardens, Kew. (2005)",,,,,,,,"In temperate Eurasian (c. 150 spp., with c. 130 spp. in the Mediterranean region including Turkey), New World (mostly temperate N America, c. 60 spp.); also tropical and subtropical montane areas (c. 36 spp. in Africa, some in Andes of S America)"
Trilepisium,,,,x,,x,,,,,,,,,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.",,,,,,,,Also in zanzibar region (white 1983)
Typha,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,,"Thulin, M., et al. (2008). Flora of Somalia, Vol. 1-4. https://plants.jstor.org/collection/FLOS",,,,,,,,
Uapaca,,,,x,,x,x,,,,,,,,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.","Hély, C., Lézine, A.-M., & Contributors, A. (2014). Holocene changes in African vegetation: Tradeoff between climate and water availability. Clim. Past, 10, 681–686. https://doi.org/10.5194/cp-10-681-2014",,,,,,,
Ulmus t.,,,,,,,,,,x,x,x,x,x,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.","De Rigo, D., Caudullo, G., Houston Durrant, T., & San-Miguel-Ayanz, J. (2016). The European Atlas of Forest Tree Species: modelling, data and information on forest tree species. European atlas of forest tree species, 40-45.",,,,,,,
Uncaria,,,,,,x,x,,,,,,,,,,,,Heitzman et al. 2005 Phytochemistry,,,,,,,,
Urtica t.,,,x,x,,,,,,x,x,x,x,x,x,,,,"Thulin, M., et al. (2008). Flora of Somalia, Vol. 1-4. https://plants.jstor.org/collection/FLOS",,,,,,,,"About 50 species, mostly in the northern temperate regions, a few in the tropics."
Utricularia,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,,,x,"Thulin, M., et al. (2008). Flora of Somalia, Vol. 1-4. https://plants.jstor.org/collection/FLOS",,,,,,,,
Vaccinium,,x,,x,,,,,,x,x,x,,x,,,,,"Utteridge, T. M. A., & Jennings, L. V. S. (2022). Trees of New Guinea. Kew Publishing, Royal Botanic Gardens, Kew.",,,,,,,,"In Africa: Afromontane archipelago,East Malagasy (white 1983)"
Vahlia,,,x,x,,,x,x,x,,,,,,,,,,"Hély, C., Lézine, A.-M., & Contributors, A. (2014). Holocene changes in African vegetation: Tradeoff between climate and water availability. Clim. Past, 10, 681–686. https://doi.org/10.5194/cp-10-681-2014",,,,,,,,
Valeriana,,,x,x,x,,,,,x,x,x,x,x,x,,,,"Ghazanfar, S. A. & Edmondson, J. R (Eds). (2014) Flora of Iraq, Volume 5 Part 2: Lythraceae to Campanulaceae.",,,,,,,,"About 250 species in the Northern Hemisphere and in the Cordilleras, also in the S Hemisphere."
Valeriana t.,,,x,x,x,,,,,x,x,x,x,x,x,,,,"Ghazanfar, S. A. & Edmondson, J. R (Eds). (2014) Flora of Iraq, Volume 5 Part 2: Lythraceae to Campanulaceae.",,,,,,,,"About 250 species in the Northern Hemisphere and in the Cordilleras, also in the S Hemisphere."
Valerianaceae undif.,,,x,x,x,x,,,,x,x,x,x,x,x,,,,"Milliken, W., Klitgard, B. and Baracat, A. (2009), Neotropikey - Interactive key and information resources for flowering plants of the Neotropics",,,,,,,,
Valerianella,,,,x,,,,,,x,x,x,x,,,,,,"Ghazanfar, S. A. & Edmondson, J. R (Eds). (2014) Flora of Iraq, Volume 5 Part 2: Lythraceae to Campanulaceae.",,,,,,,,
Vangueria,,,x,x,,,x,x,,,,,,,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.","Thulin, M., et al. (2008). Flora of Somalia, Vol. 1-4. https://plants.jstor.org/collection/FLOS",,,,,,,Tropical and southern Africa and Madagascar. (Thulin et al. 2008). According to White (1983) the species Vangueria venosa is in the Sahel
Verbena t.,,,x,x,,x,,,,x,x,x,x,x,x,,,,Fernandes and Diniz 2005 Flora Zambesiaca. Vol 8,,,,,,,,
Verbenaceae undif.,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,,,x,"Utteridge, T. M. A., & Jennings, L. V. S. (2022). Trees of New Guinea. Kew Publishing, Royal Botanic Gardens, Kew.",,,,,,,,
Vernonieae,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,,Siniscalchi et al. (2019) Frontiers in Plant Science,,,,,,,,
Viburnum,,,,,,,,,,x,x,x,x,x,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.","Sharifi-Rad, J., Quispe, C., Vergara, C. V., Kitic, D., Kostic, M., Armstrong, L., ... & Cho, W. C. (2021). Genus Viburnum: Therapeutic Potentialities and Agro?Food?Pharma Applications. Oxidative Medicine and Cellular Longevity, 2021(1), 3095514.",,,,,,,
Vigna,x,x,x,x,x,x,x,x,x,,,x,x,x,x,,,,"Tomooka, N., Kaga, A., Isemura, T., Vaughan, D. (2011). Vigna. In: Kole, C. (eds) Wild Crop Relatives: Genomic and Breeding Resources. Springer, Berlin, Heidelberg",,,,,,,,Cultivated worldwide. According to Hély (2014) is sudanian only
Viola,,x,x,x,,x,,,,x,x,x,x,x,x,,,,"Thulin, M., et al. (2008). Flora of Somalia, Vol. 1-4. https://plants.jstor.org/collection/FLOS",,,,,,,,
Viscum,,,x,x,,x,x,,,x,x,,,,,,,,"Thulin, M., et al. (2008). Flora of Somalia, Vol. 1-4. https://plants.jstor.org/collection/FLOS",,,,,,,,"Thulin et al. (2008): Genus of approximately 100 species, widely distributed in the tropics of Africa (including Madagascar) and Asia, with significant extensions into the north temperate zones of Europe and Asia; in the south temperate regions only in southern Africa and Australia."
Vitaceae undif.,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,,,x,"El Ghazali, G. E. B. (1993). A study on the pollen flora of Sudan. Review of Palaeobotany and Palynology, 76, 99-345.","Schüler, L., & Hemp, A. (2016). Atlas of pollen and spores and their parent taxa of Mt Kilimanjaro and tropical East Africa. Quaternary International, 425, 301–386. https://doi.org/10.1016/j.quaint.2016.07.038",,,,,,,
Vitex,x,x,x,x,x,x,x,,,x,,x,x,x,x,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.",,,,,,,,According to Hély (2014) only in guineo-congolian
Vitis,,,,,,,,,,x,x,x,x,x,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.",,,,,,,,
Waltheria,,,x,x,,x,x,x,,,,,,,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.","Hély, C., Lézine, A.-M., & Contributors, A. (2014). Holocene changes in African vegetation: Tradeoff between climate and water availability. Clim. Past, 10, 681–686. https://doi.org/10.5194/cp-10-681-2014",,,,,,,According to White (1983) not in the Sudan
Warionia,,,,,,,,,x,,,,,,,,,,"Quézel, P. (1978). Analysis of the flora of Mediterranean and Saharan Africa. Annals of the Missouri Botanical Garden, 479-534.","White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.","Hély, C., Lézine, A.-M., & Contributors, A. (2014). Holocene changes in African vegetation: Tradeoff between climate and water availability. Clim. Past, 10, 681–686. https://doi.org/10.5194/cp-10-681-2014",,,,,,
Withania,,,x,x,,,,,x,x,,,,,,,,,"Quézel, P. (1978). Analysis of the flora of Mediterranean and Saharan Africa. Annals of the Missouri Botanical Garden, 479-534.","Thulin, M., et al. (2008). Flora of Somalia, Vol. 1-4. https://plants.jstor.org/collection/FLOS","White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.",,,,,,"According to Thulin (2008): Genus of about 11 species with one centre of distribution in the Canary Islands, Spain and north-western Africa, and another in the Horn of Africa Region and eastwards to India. One species, W. somnifera, is widespread in the Old World."
Xeromphis nilotica,,,,x,,x,x,,,,,,,,,,,,"Thulin, M., et al. (2008). Flora of Somalia, Vol. 1-4. https://plants.jstor.org/collection/FLOS",,,,,,,,"in Zanzibar-Inhambane (white 1983). According to Thulin (2008): Kenya, Uganda, Tanzania, Eritrea, Ethiopia and westwards to Cameroun and Nigeria."
Ximenia,,,,,x,x,x,,,,,,,,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.","Hély, C., Lézine, A.-M., & Contributors, A. (2014). Holocene changes in African vegetation: Tradeoff between climate and water availability. Clim. Past, 10, 681–686. https://doi.org/10.5194/cp-10-681-2014",,,,,,,According to White (1983) not present in Guineo-Congolian
Xyris,,,,,,x,x,,,,,,,,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.",,,,,,,,
Zanthoxylum,,,x,x,,x,x,,,,,,,,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.","Hély, C., Lézine, A.-M., & Contributors, A. (2014). Holocene changes in African vegetation: Tradeoff between climate and water availability. Clim. Past, 10, 681–686. https://doi.org/10.5194/cp-10-681-2014",,,,,,,
Zea,,,,,,,,,,,,,,x,,x,,,"Thulin, M., et al. (2008). Flora of Somalia, Vol. 1-4. https://plants.jstor.org/collection/FLOS",,,,,,,,"From America, cultivated worlwide (Proctor (2012). Flora of the Cayman Isands (Second Edition). Royal Botanic Gardens, Kew)"
Zelkova,,,,,,,,,,x,,x,x,,,,,,Denk and Grimm (2005) Botanical Journal of the Linnean Society,,,,,,,,"It shows a disjunct distribution in east Asia (three species), western Asia (one species) and the Mediterranean"
Ziziphus/Paliurus,,x,x,x,x,x,x,x,x,x,,x,x,x,x,,,,"Thulin, M., et al. (2008). Flora of Somalia, Vol. 1-4. https://plants.jstor.org/collection/FLOS",,,,,,,,According to Watrin (2009) and Hély (2014) only saharan.
Zygophyllaceae undif.,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,,"Proctor (2012). Flora of the Cayman Isands (Second Edition). Royal Botanic Gardens, Kew",,,,,,,,
Zygophyllum t.,,,x,,,,,,x,x,,,,,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.","Hély, C., Lézine, A.-M., & Contributors, A. (2014). Holocene changes in African vegetation: Tradeoff between climate and water availability. Clim. Past, 10, 681–686. https://doi.org/10.5194/cp-10-681-2014",,,,,,,
